codigo,nome,capitulo,categoria
A00,Cólera,I - Algumas doenças infecciosas e parasitárias,A00-A09 Doenças infecciosas intestinais
A01,Febres tifóide e paratifóide,I - Algumas doenças infecciosas e parasitárias,A00-A09 Doenças infecciosas intestinais
A02,Outras infecções por Salmonella,I - Algumas doenças infecciosas e parasitárias,A00-A09 Doenças infecciosas intestinais
A03,Shiguelose,I - Algumas doenças infecciosas e parasitárias,A00-A09 Doenças infecciosas intestinais
A04,Outras infecções intestinais bacterianas,I - Algumas doenças infecciosas e parasitárias,A00-A09 Doenças infecciosas intestinais
A05,"Outras intoxicações alimentares bacterianas, não classificadas em outra parte",I - Algumas doenças infecciosas e parasitárias,A00-A09 Doenças infecciosas intestinais
A06,Amebíase,I - Algumas doenças infecciosas e parasitárias,A00-A09 Doenças infecciosas intestinais
A07,Outras doenças intestinais por protozoários,I - Algumas doenças infecciosas e parasitárias,A00-A09 Doenças infecciosas intestinais
A08,"Infecções intestinais virais, outras e as não especificadas",I - Algumas doenças infecciosas e parasitárias,A00-A09 Doenças infecciosas intestinais
A09,Diarréia e gastroenterite de origem infecciosa presumível,I - Algumas doenças infecciosas e parasitárias,A00-A09 Doenças infecciosas intestinais
A15,"Tuberculose respiratória, com confirmação bacteriológica e histológica",I - Algumas doenças infecciosas e parasitárias,A15-A19 Tuberculose
A16,"Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica",I - Algumas doenças infecciosas e parasitárias,A15-A19 Tuberculose
A17,Tuberculose do sistema nervoso,I - Algumas doenças infecciosas e parasitárias,A15-A19 Tuberculose
A18,Tuberculose de outros órgãos,I - Algumas doenças infecciosas e parasitárias,A15-A19 Tuberculose
A19,Tuberculose miliar,I - Algumas doenças infecciosas e parasitárias,A15-A19 Tuberculose
A20,Peste,I - Algumas doenças infecciosas e parasitárias,A20-A28 Algumas doenças bacterianas zoonóticas
A21,Tularemia,I - Algumas doenças infecciosas e parasitárias,A20-A28 Algumas doenças bacterianas zoonóticas
A22,Carbúnculo,I - Algumas doenças infecciosas e parasitárias,A20-A28 Algumas doenças bacterianas zoonóticas
A23,Brucelose,I - Algumas doenças infecciosas e parasitárias,A20-A28 Algumas doenças bacterianas zoonóticas
A24,Mormo e melioidose,I - Algumas doenças infecciosas e parasitárias,A20-A28 Algumas doenças bacterianas zoonóticas
A25,Febres transmitidas por mordedura de rato,I - Algumas doenças infecciosas e parasitárias,A20-A28 Algumas doenças bacterianas zoonóticas
A26,Erisipelóide,I - Algumas doenças infecciosas e parasitárias,A20-A28 Algumas doenças bacterianas zoonóticas
A27,Leptospirose,I - Algumas doenças infecciosas e parasitárias,A20-A28 Algumas doenças bacterianas zoonóticas
A28,Outras doenças bacterianas zoonóticas não classificadas em outra parte,I - Algumas doenças infecciosas e parasitárias,A20-A28 Algumas doenças bacterianas zoonóticas
A30,Hanseníase [doença de Hansen] [lepra],I - Algumas doenças infecciosas e parasitárias,A30-A49 Outras doenças bacterianas
A31,Infecções devidas a outras micobactérias,I - Algumas doenças infecciosas e parasitárias,A30-A49 Outras doenças bacterianas
A32,Listeriose [listeríase],I - Algumas doenças infecciosas e parasitárias,A30-A49 Outras doenças bacterianas
A33,Tétano do recém-nascido [neonatal],I - Algumas doenças infecciosas e parasitárias,A30-A49 Outras doenças bacterianas
A34,Tétano obstétrico,I - Algumas doenças infecciosas e parasitárias,A30-A49 Outras doenças bacterianas
A35,Outros tipos de tétano,I - Algumas doenças infecciosas e parasitárias,A30-A49 Outras doenças bacterianas
A36,Difteria,I - Algumas doenças infecciosas e parasitárias,A30-A49 Outras doenças bacterianas
A37,Coqueluche,I - Algumas doenças infecciosas e parasitárias,A30-A49 Outras doenças bacterianas
A38,Escarlatina,I - Algumas doenças infecciosas e parasitárias,A30-A49 Outras doenças bacterianas
A39,Infecção meningogócica,I - Algumas doenças infecciosas e parasitárias,A30-A49 Outras doenças bacterianas
A40,Septicemia estreptocócica,I - Algumas doenças infecciosas e parasitárias,A30-A49 Outras doenças bacterianas
A41,Outras septicemias,I - Algumas doenças infecciosas e parasitárias,A30-A49 Outras doenças bacterianas
A42,Actinomicose,I - Algumas doenças infecciosas e parasitárias,A30-A49 Outras doenças bacterianas
