codigo_ibge,nome,tipo,uf,estado
12,Acre,estado,AC,Acre
27,Alagoas,estado,AL,Alagoas
16,Amapá,estado,AP,Amapá
13,Amazonas,estado,AM,Amazonas
29,Bahia,estado,BA,Bahia
23,Ceará,estado,CE,Ceará
53,Distrito Federal,estado,DF,Distrito Federal
32,Espírito Santo,estado,ES,Espírito Santo
52,Goiás,estado,GO,Goiás
21,Maranhão,estado,MA,Maranhão
51,Mato Grosso,estado,MT,Mato Grosso
50,Mato Grosso do Sul,estado,MS,Mato Grosso do Sul
31,Minas Gerais,estado,MG,Minas Gerais
15,Pará,estado,PA,Pará
25,Paraíba,estado,PB,Paraíba
41,Paraná,estado,PR,Paraná
26,Pernambuco,estado,PE,Pernambuco
22,Piauí,estado,PI,Piauí
33,Rio de Janeiro,estado,RJ,Rio de Janeiro
24,Rio Grande do Norte,estado,RN,Rio Grande do Norte
43,Rio Grande do Sul,estado,RS,Rio Grande do Sul
11,Rondônia,estado,RO,Rondônia
14,Roraima,estado,RR,Roraima
42,Santa Catarina,estado,SC,Santa Catarina
35,São Paulo,estado,SP,São Paulo
28,Sergipe,estado,SE,Sergipe
17,Tocantins,estado,TO,Tocantins
5200050,Abadia de Goiás,municipio,GO,Goiás
3100104,Abadia dos Dourados,municipio,MG,Minas Gerais
5200100,Abadiânia,municipio,GO,Goiás
3100203,Abaeté,municipio,MG,Minas Gerais
1500107,Abaetetuba,municipio,PA,Pará
2300101,Abaiara,municipio,CE,Ceará
2900108,Abaíra,municipio,BA,Bahia
2900207,Abaré,municipio,BA,Bahia
4100103,Abatiá,municipio,PR,Paraná
4200051,Abdon Batista,municipio,SC,Santa Catarina
1500131,Abel Figueiredo,municipio,PA,Pará
4200101,Abelardo Luz,municipio,SC,Santa Catarina
3100302,Abre Campo,municipio,MG,Minas Gerais
2600054,Abreu e Lima,municipio,PE,Pernambuco
1700251,Abreulândia,municipio,TO,Tocantins
3100401,Acaiaca,municipio,MG,Minas Gerais
2100055,Açailândia,municipio,MA,Maranhão
2900306,Acajutiba,municipio,BA,Bahia
1500206,Acará,municipio,PA,Pará
2300150,Acarape,municipio,CE,Ceará
2300200,Acaraú,municipio,CE,Ceará
2400109,Acari,municipio,RN,Rio Grande do Norte
2200053,Acauã,municipio,PI,Piauí
4300034,Aceguá,municipio,RS,Rio Grande do Sul
2300309,Acopiara,municipio,CE,Ceará
5100102,Acorizal,municipio,MT,Mato Grosso
1200013,Acrelândia,municipio,AC,Acre
5200134,Acreúna,municipio,GO,Goiás
2400208,Açu,municipio,RN,Rio Grande do Norte
3100500,Açucena,municipio,MG,Minas Gerais
3500105,Adamantina,municipio,SP,São Paulo
5200159,Adelândia,municipio,GO,Goiás
3500204,Adolfo,municipio,SP,São Paulo
4100202,Adrianópolis,municipio,PR,Paraná
2900355,Adustina,municipio,BA,Bahia
2600104,Afogados da Ingazeira,municipio,PE,Pernambuco
2400307,Afonso Bezerra,municipio,RN,Rio Grande do Norte
3200102,Afonso Cláudio,municipio,ES,Espírito Santo
2100105,Afonso Cunha,municipio,MA,Maranhão
2600203,Afrânio,municipio,PE,Pernambuco
1500305,Afuá,municipio,PA,Pará
2600302,Agrestina,municipio,PE,Pernambuco
2200103,Agricolândia,municipio,PI,Piauí
4200200,Agrolândia,municipio,SC,Santa Catarina
4200309,Agronômica,municipio,SC,Santa Catarina
1500347,Água Azul do Norte,municipio,PA,Pará
3100609,Água Boa,municipio,MG,Minas Gerais
5100201,Água Boa,municipio,MT,Mato Grosso
2700102,Água Branca,municipio,AL,Alagoas
2200202,Água Branca,municipio,PI,Piauí
2500106,Água Branca,municipio,PB,Paraíba
5000203,Água Clara,municipio,MS,Mato Grosso do Sul
3100708,Água Comprida,municipio,MG,Minas Gerais
4200408,Água Doce,municipio,SC,Santa Catarina
2100154,Água Doce do Maranhão,municipio,MA,Maranhão
3200169,Água Doce do Norte,municipio,ES,Espírito Santo
2900405,Água Fria,municipio,BA,Bahia
5200175,Água Fria de Goiás,municipio,GO,Goiás
5200209,Água Limpa,municipio,GO,Goiás
2400406,Água Nova,municipio,RN,Rio Grande do Norte
2600401,Água Preta,municipio,PE,Pernambuco
4300059,Água Santa,municipio,RS,Rio Grande do Sul
3500303,Aguaí,municipio,SP,São Paulo
3100807,Aguanil,municipio,MG,Minas Gerais
2600500,Águas Belas,municipio,PE,Pernambuco
3500402,Águas da Prata,municipio,SP,São Paulo
4200507,Águas de Chapecó,municipio,SC,Santa Catarina
3500501,Águas de Lindóia,municipio,SP,São Paulo
3500550,Águas de Santa Bárbara,municipio,SP,São Paulo
3500600,Águas de São Pedro,municipio,SP,São Paulo
3100906,Águas Formosas,municipio,MG,Minas Gerais
4200556,Águas Frias,municipio,SC,Santa Catarina
5200258,Águas Lindas de Goiás,municipio,GO,Goiás
4200606,Águas Mornas,municipio,SC,Santa Catarina
3101003,Águas Vermelhas,municipio,MG,Minas Gerais
4300109,Agudo,municipio,RS,Rio Grande do Sul
3500709,Agudos,municipio,SP,São Paulo
4100301,Agudos do Sul,municipio,PR,Paraná
3200136,Águia Branca,municipio,ES,Espírito Santo
2500205,Aguiar,municipio,PB,Paraíba
1700301,Aguiarnópolis,municipio,TO,Tocantins
3101102,Aimorés,municipio,MG,Minas Gerais
2900603,Aiquara,municipio,BA,Bahia
2300408,Aiuaba,municipio,CE,Ceará
3101201,Aiuruoca,municipio,MG,Minas Gerais
4300208,Ajuricaba,municipio,RS,Rio Grande do Sul
3101300,Alagoa,municipio,MG,Minas Gerais
2500304,Alagoa Grande,municipio,PB,Paraíba
2500403,Alagoa Nova,municipio,PB,Paraíba
2500502,Alagoinha,municipio,PB,Paraíba
2600609,Alagoinha,municipio,PE,Pernambuco
2200251,Alagoinha do Piauí,municipio,PI,Piauí
2900702,Alagoinhas,municipio,BA,Bahia
3500758,Alambari,municipio,SP,São Paulo
3101409,Albertina,municipio,MG,Minas Gerais
2100204,Alcântara,municipio,MA,Maranhão
2300507,Alcântaras,municipio,CE,Ceará
2500536,Alcantil,municipio,PB,Paraíba
5000252,Alcinópolis,municipio,MS,Mato Grosso do Sul
2900801,Alcobaça,municipio,BA,Bahia
2100303,Aldeias Altas,municipio,MA,Maranhão
4300307,Alecrim,municipio,RS,Rio Grande do Sul
3200201,Alegre,municipio,ES,Espírito Santo
4300406,Alegrete,municipio,RS,Rio Grande do Sul
2200277,Alegrete do Piauí,municipio,PI,Piauí
4300455,Alegria,municipio,RS,Rio Grande do Sul
